RUN	com.yajb.loadtest.search.SearchLoadSimulation	searchloadsimulation	1684434182688	 	3.9.3
USER	warm up	START	1684434184679
REQUEST		search	1684434184768	1684434185314	OK	 
USER	warm up	START	1684434185672
REQUEST		search	1684434185674	1684434186064	OK	 
USER	warm up	START	1684434186673
REQUEST		search	1684434186607	1684434187114	OK	 
REQUEST		search	1684434186674	1684434187170	OK	 
USER	warm up	START	1684434187668
REQUEST		search	1684434187734	1684434188163	OK	 
REQUEST		search	1684434187908	1684434188189	OK	 
REQUEST		search	1684434188357	1684434188545	OK	 
USER	warm up	START	1684434188669
REQUEST		search	1684434188516	1684434188696	OK	 
REQUEST		search	1684434188669	1684434189063	OK	 
USER	warm up	START	1684434189669
REQUEST		search	1684434189465	1684434189863	OK	 
REQUEST		search	1684434189723	1684434189913	OK	 
REQUEST		search	1684434189670	1684434190163	OK	 
REQUEST		search	1684434190229	1684434190413	OK	 
REQUEST		search	1684434190398	1684434190595	OK	 
USER	warm up	START	1684434190668
REQUEST		search	1684434190811	1684434191013	OK	 
REQUEST		search	1684434190669	1684434191163	OK	 
REQUEST		search	1684434191325	1684434191526	OK	 
REQUEST		search	1684434191380	1684434191568	OK	 
USER	warm up	START	1684434191669
REQUEST		search	1684434191776	1684434191963	OK	 
REQUEST		search	1684434191670	1684434192063	OK	 
REQUEST		search	1684434191860	1684434192263	OK	 
REQUEST		search	1684434192231	1684434192429	OK	 
REQUEST		search	1684434192382	1684434192592	OK	 
USER	warm up	START	1684434192668
REQUEST		search	1684434192559	1684434192774	OK	 
REQUEST		search	1684434192573	1684434192983	OK	 
REQUEST		search	1684434192669	1684434193065	OK	 
REQUEST		search	1684434192997	1684434193230	OK	 
REQUEST		search	1684434192997	1684434193240	OK	 
USER	warm up	START	1684434193668
REQUEST		search	1684434193847	1684434194163	OK	 
REQUEST		search	1684434193889	1684434194180	OK	 
REQUEST		search	1684434193670	1684434194214	OK	 
REQUEST		search	1684434193953	1684434194313	OK	 
REQUEST		search	1684434194011	1684434194414	OK	 
REQUEST		search	1684434194255	1684434194463	OK	 
REQUEST		search	1684434194247	1684434194476	OK	 
REQUEST		search	1684434194288	1684434194482	OK	 
REQUEST		search	1684434194739	1684434194963	OK	 
REQUEST		search	1684434194747	1684434195169	OK	 
REQUEST		search	1684434195432	1684434195745	OK	 
REQUEST		search	1684434195709	1684434196018	OK	 
REQUEST		search	1684434195861	1684434196072	OK	 
REQUEST		search	1684434195896	1684434196113	OK	 
REQUEST		search	1684434195987	1684434196182	OK	 
REQUEST		search	1684434196149	1684434196363	OK	 
REQUEST		search	1684434196257	1684434196462	OK	 
REQUEST		search	1684434196084	1684434196470	OK	 
REQUEST		search	1684434196559	1684434196773	OK	 
REQUEST		search	1684434196948	1684434197271	OK	 
REQUEST		search	1684434197257	1684434197563	OK	 
REQUEST		search	1684434197289	1684434197574	OK	 
REQUEST		search	1684434197405	1684434197713	OK	 
REQUEST		search	1684434197532	1684434197743	OK	 
REQUEST		search	1684434197560	1684434197763	OK	 
REQUEST		search	1684434197415	1684434197815	OK	 
REQUEST		search	1684434197672	1684434197879	OK	 
REQUEST		search	1684434197682	1684434197966	OK	 
REQUEST		search	1684434198338	1684434198544	OK	 
REQUEST		search	1684434198807	1684434199113	OK	 
REQUEST		search	1684434198916	1684434199126	OK	 
REQUEST		search	1684434198918	1684434199213	OK	 
REQUEST		search	1684434198949	1684434199245	OK	 
REQUEST		search	1684434199024	1684434199313	OK	 
REQUEST		search	1684434199217	1684434199413	OK	 
REQUEST		search	1684434199366	1684434199563	OK	 
REQUEST		search	1684434199413	1684434199613	OK	 
REQUEST		search	1684434199632	1684434199863	OK	 
REQUEST		search	1684434199696	1684434200113	OK	 
REQUEST		search	1684434200297	1684434200594	OK	 
REQUEST		search	1684434200498	1684434200793	OK	 
REQUEST		search	1684434200540	1684434200828	OK	 
REQUEST		search	1684434200440	1684434200833	OK	 
REQUEST		search	1684434200905	1684434201192	OK	 
REQUEST		search	1684434201030	1684434201213	OK	 
REQUEST		search	1684434201114	1684434201313	OK	 
REQUEST		search	1684434201500	1684434201737	OK	 
REQUEST		search	1684434201442	1684434201763	OK	 
REQUEST		search	1684434201516	1684434201977	OK	 
REQUEST		search	1684434201730	1684434202013	OK	 
REQUEST		search	1684434202221	1684434202513	OK	 
REQUEST		search	1684434202276	1684434202563	OK	 
REQUEST		search	1684434202305	1684434202663	OK	 
REQUEST		search	1684434202608	1684434202794	OK	 
REQUEST		search	1684434202718	1684434202913	OK	 
REQUEST		search	1684434202689	1684434203072	OK	 
REQUEST		search	1684434203288	1684434203680	OK	 
REQUEST		search	1684434203481	1684434203777	OK	 
REQUEST		search	1684434203645	1684434203965	OK	 
REQUEST		search	1684434203777	1684434203967	OK	 
REQUEST		search	1684434203891	1684434204313	OK	 
REQUEST		search	1684434204195	1684434204395	OK	 
REQUEST		search	1684434204338	1684434204522	OK	 
REQUEST		search	1684434204378	1684434204668	OK	 
REQUEST		search	1684434204788	1684434204969	OK	 
REQUEST		search	1684434204806	1684434204992	OK	 
REQUEST		search	1684434204802	1684434205217	OK	 
REQUEST		search	1684434205281	1684434205470	OK	 
REQUEST		search	1684434205343	1684434205568	OK	 
REQUEST		search	1684434205490	1684434205869	OK	 
REQUEST		search	1684434205680	1684434205881	OK	 
REQUEST		search	1684434205788	1684434206017	OK	 
REQUEST		search	1684434205778	1684434206063	OK	 
REQUEST		search	1684434206081	1684434206263	OK	 
