RUN	com.yajb.loadtest.search.SearchLoadSimulation	searchloadsimulation	1684435238575	 	3.9.3
USER	warm up	START	1684435243266
USER	warm up	START	1684435244256
USER	warm up	START	1684435245257
REQUEST		search	1684435243357	1684435246120	OK	 
USER	warm up	START	1684435246252
REQUEST		search	1684435244270	1684435246908	OK	 
REQUEST		search	1684435245258	1684435246909	OK	 
USER	warm up	START	1684435247251
REQUEST		search	1684435247345	1684435247951	OK	 
REQUEST		search	1684435246253	1684435247962	OK	 
USER	warm up	START	1684435248251
REQUEST		search	1684435248218	1684435249095	OK	 
USER	warm up	START	1684435249252
REQUEST		search	1684435247252	1684435249294	OK	 
REQUEST		search	1684435248616	1684435249295	OK	 
REQUEST		search	1684435249393	1684435249708	OK	 
REQUEST		search	1684435248253	1684435250009	OK	 
USER	warm up	START	1684435250252
REQUEST		search	1684435249798	1684435250750	OK	 
USER	warm up	START	1684435251252
REQUEST		search	1684435249253	1684435251616	OK	 
REQUEST		search	1684435250277	1684435251617	OK	 
REQUEST		search	1684435250635	1684435251768	OK	 
REQUEST		search	1684435250708	1684435251768	OK	 
REQUEST		search	1684435250901	1684435251812	OK	 
REQUEST		search	1684435251605	1684435251895	OK	 
REQUEST		search	1684435250253	1684435252147	OK	 
REQUEST		search	1684435251254	1684435252243	OK	 
USER	warm up	START	1684435252252
REQUEST		search	1684435252253	1684435252744	OK	 
REQUEST		search	1684435252616	1684435252863	OK	 
REQUEST		search	1684435252805	1684435253099	OK	 
REQUEST		search	1684435252823	1684435253114	OK	 
REQUEST		search	1684435253051	1684435253268	OK	 
REQUEST		search	1684435253161	1684435253371	OK	 
REQUEST		search	1684435253350	1684435253564	OK	 
REQUEST		search	1684435253322	1684435253626	OK	 
REQUEST		search	1684435253438	1684435253654	OK	 
REQUEST		search	1684435253530	1684435253749	OK	 
REQUEST		search	1684435254255	1684435254544	OK	 
REQUEST		search	1684435254277	1684435254644	OK	 
REQUEST		search	1684435254333	1684435254644	OK	 
REQUEST		search	1684435254320	1684435254694	OK	 
REQUEST		search	1684435254322	1684435254694	OK	 
REQUEST		search	1684435254944	1684435255194	OK	 
REQUEST		search	1684435254955	1684435255222	OK	 
REQUEST		search	1684435255098	1684435255312	OK	 
REQUEST		search	1684435255448	1684435255744	OK	 
REQUEST		search	1684435255526	1684435255759	OK	 
REQUEST		search	1684435255741	1684435255950	OK	 
REQUEST		search	1684435255876	1684435256298	OK	 
REQUEST		search	1684435256278	1684435256661	OK	 
REQUEST		search	1684435256328	1684435256805	OK	 
REQUEST		search	1684435256377	1684435257093	OK	 
REQUEST		search	1684435256412	1684435257093	OK	 
REQUEST		search	1684435256532	1684435257207	OK	 
REQUEST		search	1684435256503	1684435257207	OK	 
REQUEST		search	1684435257023	1684435257293	OK	 
REQUEST		search	1684435257090	1684435257323	OK	 
REQUEST		search	1684435257411	1684435257970	OK	 
REQUEST		search	1684435257812	1684435259196	OK	 
