RUN	com.yajb.loadtest.search.SearchLoadSimulation	searchloadsimulation	1684498124052	 	3.9.3
USER	warm up	START	1684498125922
USER	warm up	START	1684498126910
REQUEST		search	1684498125995	1684498127100	OK	 
REQUEST		search	1684498126920	1684498127689	OK	 
USER	warm up	START	1684498127910
REQUEST		search	1684498127911	1684498128596	OK	 
USER	warm up	START	1684498128904
REQUEST		search	1684498128467	1684498129621	OK	 
USER	warm up	START	1684498129906
REQUEST		search	1684498128905	1684498130560	OK	 
REQUEST		search	1684498129662	1684498130668	OK	 
REQUEST		search	1684498129907	1684498130668	OK	 
REQUEST		search	1684498129515	1684498130668	OK	 
USER	warm up	START	1684498130905
REQUEST		search	1684498130906	1684498131611	OK	 
REQUEST		search	1684498131507	1684498131836	OK	 
USER	warm up	START	1684498131905
REQUEST		search	1684498131945	1684498132229	OK	 
REQUEST		search	1684498131806	1684498132283	OK	 
REQUEST		search	1684498131841	1684498132307	OK	 
REQUEST		search	1684498131906	1684498132399	OK	 
REQUEST		search	1684498132501	1684498132786	OK	 
USER	warm up	START	1684498132905
REQUEST		search	1684498132710	1684498132993	OK	 
REQUEST		search	1684498132906	1684498133439	OK	 
REQUEST		search	1684498133384	1684498133697	OK	 
USER	warm up	START	1684498133905
REQUEST		search	1684498133655	1684498134236	OK	 
REQUEST		search	1684498133629	1684498134236	OK	 
REQUEST		search	1684498134142	1684498134584	OK	 
REQUEST		search	1684498133906	1684498134694	OK	 
REQUEST		search	1684498134705	1684498134891	OK	 
REQUEST		search	1684498134300	1684498134895	OK	 
USER	warm up	START	1684498134905
REQUEST		search	1684498134510	1684498135059	OK	 
REQUEST		search	1684498134790	1684498135080	OK	 
REQUEST		search	1684498134685	1684498135159	OK	 
REQUEST		search	1684498134906	1684498135653	OK	 
REQUEST		search	1684498135350	1684498136247	OK	 
REQUEST		search	1684498135921	1684498136507	OK	 
REQUEST		search	1684498135897	1684498136531	OK	 
REQUEST		search	1684498136544	1684498137420	OK	 
REQUEST		search	1684498136768	1684498137420	OK	 
REQUEST		search	1684498136390	1684498137420	OK	 
REQUEST		search	1684498136884	1684498137552	OK	 
REQUEST		search	1684498136669	1684498137580	OK	 
REQUEST		search	1684498136787	1684498137580	OK	 
REQUEST		search	1684498137610	1684498138062	OK	 
REQUEST		search	1684498137621	1684498138108	OK	 
REQUEST		search	1684498138256	1684498138519	OK	 
REQUEST		search	1684498137960	1684498138555	OK	 
REQUEST		search	1684498138871	1684498139343	OK	 
REQUEST		search	1684498139033	1684498139423	OK	 
REQUEST		search	1684498138786	1684498139774	OK	 
REQUEST		search	1684498139219	1684498139996	OK	 
REQUEST		search	1684498139185	1684498139996	OK	 
REQUEST		search	1684498139132	1684498139996	OK	 
REQUEST		search	1684498139294	1684498140094	OK	 
REQUEST		search	1684498139479	1684498140331	OK	 
REQUEST		search	1684498140219	1684498140444	OK	 
REQUEST		search	1684498140095	1684498140623	OK	 
REQUEST		search	1684498140782	1684498141175	OK	 
REQUEST		search	1684498140809	1684498141183	OK	 
REQUEST		search	1684498140901	1684498141272	OK	 
REQUEST		search	1684498141627	1684498142083	OK	 
REQUEST		search	1684498141843	1684498142126	OK	 
REQUEST		search	1684498141921	1684498142312	OK	 
REQUEST		search	1684498141904	1684498142314	OK	 
REQUEST		search	1684498141922	1684498142324	OK	 
REQUEST		search	1684498141869	1684498142324	OK	 
REQUEST		search	1684498142329	1684498142510	OK	 
REQUEST		search	1684498142246	1684498142659	OK	 
REQUEST		search	1684498142678	1684498142938	OK	 
REQUEST		search	1684498142738	1684498143046	OK	 
REQUEST		search	1684498143374	1684498143763	OK	 
REQUEST		search	1684498143621	1684498143819	OK	 
REQUEST		search	1684498143726	1684498144004	OK	 
