RUN	com.yajb.loadtest.search.SearchLoadSimulation	searchloadsimulation	1684442269187	 	3.9.3
USER	warm up	START	1684442271021
USER	warm up	START	1684442272010
REQUEST		search	1684442271229	1684442272188	OK	 
REQUEST		search	1684442272012	1684442272458	OK	 
USER	warm up	START	1684442273010
REQUEST		search	1684442273011	1684442273491	OK	 
REQUEST		search	1684442273417	1684442273655	OK	 
USER	warm up	START	1684442274006
USER	warm up	START	1684442275005
REQUEST		search	1684442274793	1684442275038	OK	 
REQUEST		search	1684442274336	1684442275046	OK	 
REQUEST		search	1684442274007	1684442275046	OK	 
REQUEST		search	1684442275006	1684442275487	OK	 
REQUEST		search	1684442275312	1684442275538	OK	 
USER	warm up	START	1684442276005
REQUEST		search	1684442276732	1684442276992	OK	 
USER	warm up	START	1684442277006
REQUEST		search	1684442276855	1684442277066	OK	 
REQUEST		search	1684442277007	1684442277454	OK	 
REQUEST		search	1684442276266	1684442277588	OK	 
REQUEST		search	1684442276839	1684442277588	OK	 
REQUEST		search	1684442276007	1684442277588	OK	 
REQUEST		search	1684442277478	1684442277707	OK	 
USER	warm up	START	1684442278005
REQUEST		search	1684442278007	1684442278488	OK	 
REQUEST		search	1684442278465	1684442278696	OK	 
REQUEST		search	1684442278537	1684442278763	OK	 
USER	warm up	START	1684442279006
REQUEST		search	1684442278819	1684442279088	OK	 
REQUEST		search	1684442279097	1684442279318	OK	 
REQUEST		search	1684442279007	1684442279454	OK	 
REQUEST		search	1684442279312	1684442279549	OK	 
REQUEST		search	1684442279534	1684442279745	OK	 
REQUEST		search	1684442279552	1684442279768	OK	 
REQUEST		search	1684442279767	1684442279988	OK	 
USER	warm up	START	1684442280007
REQUEST		search	1684442280008	1684442280462	OK	 
REQUEST		search	1684442280312	1684442280557	OK	 
REQUEST		search	1684442280448	1684442280658	OK	 
REQUEST		search	1684442280608	1684442280820	OK	 
REQUEST		search	1684442280811	1684442281037	OK	 
REQUEST		search	1684442280917	1684442281149	OK	 
REQUEST		search	1684442281040	1684442281266	OK	 
REQUEST		search	1684442281041	1684442281266	OK	 
REQUEST		search	1684442281448	1684442281668	OK	 
REQUEST		search	1684442281923	1684442282141	OK	 
REQUEST		search	1684442282018	1684442282240	OK	 
REQUEST		search	1684442282170	1684442282394	OK	 
REQUEST		search	1684442282287	1684442282516	OK	 
REQUEST		search	1684442282371	1684442282613	OK	 
REQUEST		search	1684442282546	1684442282787	OK	 
REQUEST		search	1684442282603	1684442282837	OK	 
REQUEST		search	1684442282907	1684442283112	OK	 
REQUEST		search	1684442282919	1684442283147	OK	 
REQUEST		search	1684442283587	1684442283793	OK	 
REQUEST		search	1684442283767	1684442283987	OK	 
REQUEST		search	1684442284048	1684442284258	OK	 
REQUEST		search	1684442284176	1684442284410	OK	 
REQUEST		search	1684442284265	1684442284487	OK	 
REQUEST		search	1684442284248	1684442284487	OK	 
REQUEST		search	1684442284243	1684442284488	OK	 
REQUEST		search	1684442284235	1684442284488	OK	 
REQUEST		search	1684442284430	1684442284688	OK	 
REQUEST		search	1684442284460	1684442284709	OK	 
REQUEST		search	1684442285390	1684442285660	OK	 
REQUEST		search	1684442285622	1684442285848	OK	 
REQUEST		search	1684442285755	1684442285970	OK	 
REQUEST		search	1684442285774	1684442286012	OK	 
REQUEST		search	1684442285878	1684442286095	OK	 
REQUEST		search	1684442286186	1684442286405	OK	 
REQUEST		search	1684442286181	1684442286437	OK	 
REQUEST		search	1684442286209	1684442286453	OK	 
REQUEST		search	1684442286482	1684442286689	OK	 
REQUEST		search	1684442286478	1684442286737	OK	 
REQUEST		search	1684442287157	1684442287387	OK	 
REQUEST		search	1684442287320	1684442287546	OK	 
REQUEST		search	1684442287321	1684442287546	OK	 
REQUEST		search	1684442287546	1684442287750	OK	 
REQUEST		search	1684442287625	1684442287887	OK	 
REQUEST		search	1684442287862	1684442288087	OK	 
REQUEST		search	1684442287870	1684442288092	OK	 
REQUEST		search	1684442288176	1684442288391	OK	 
REQUEST		search	1684442288203	1684442288409	OK	 
REQUEST		search	1684442288300	1684442288545	OK	 
REQUEST		search	1684442288795	1684442289036	OK	 
REQUEST		search	1684442288825	1684442289043	OK	 
REQUEST		search	1684442288926	1684442289186	OK	 
REQUEST		search	1684442289268	1684442289501	OK	 
REQUEST		search	1684442289346	1684442289562	OK	 
REQUEST		search	1684442289478	1684442289699	OK	 
REQUEST		search	1684442289754	1684442289957	OK	 
REQUEST		search	1684442289773	1684442289996	OK	 
REQUEST		search	1684442290265	1684442290503	OK	 
REQUEST		search	1684442290275	1684442290537	OK	 
REQUEST		search	1684442290414	1684442290660	OK	 
REQUEST		search	1684442290548	1684442290770	OK	 
REQUEST		search	1684442290609	1684442290838	OK	 
REQUEST		search	1684442290923	1684442291153	OK	 
REQUEST		search	1684442291084	1684442291339	OK	 
REQUEST		search	1684442291182	1684442291403	OK	 
REQUEST		search	1684442291528	1684442291746	OK	 
REQUEST		search	1684442291528	1684442291748	OK	 
REQUEST		search	1684442291624	1684442291887	OK	 
REQUEST		search	1684442291780	1684442292037	OK	 
REQUEST		search	1684442292166	1684442292391	OK	 
REQUEST		search	1684442292366	1684442292587	OK	 
REQUEST		search	1684442292382	1684442292603	OK	 
REQUEST		search	1684442292558	1684442292761	OK	 
REQUEST		search	1684442292799	1684442293005	OK	 
REQUEST		search	1684442293093	1684442293302	OK	 
REQUEST		search	1684442293135	1684442293341	OK	 
REQUEST		search	1684442293312	1684442293538	OK	 
REQUEST		search	1684442293618	1684442293837	OK	 
REQUEST		search	1684442293726	1684442293987	OK	 
REQUEST		search	1684442293884	1684442294119	OK	 
REQUEST		search	1684442294378	1684442294612	OK	 
REQUEST		search	1684442294439	1684442294656	OK	 
REQUEST		search	1684442294741	1684442294949	OK	 
REQUEST		search	1684442295000	1684442295214	OK	 
REQUEST		search	1684442295037	1684442295242	OK	 
REQUEST		search	1684442295139	1684442295345	OK	 
REQUEST		search	1684442295186	1684442295403	OK	 
REQUEST		search	1684442295484	1684442295737	OK	 
REQUEST		search	1684442295673	1684442295913	OK	 
REQUEST		search	1684442295749	1684442295967	OK	 
REQUEST		search	1684442295793	1684442296037	OK	 
REQUEST		search	1684442296053	1684442296262	OK	 
REQUEST		search	1684442296563	1684442296770	OK	 
REQUEST		search	1684442296590	1684442296797	OK	 
REQUEST		search	1684442296595	1684442296818	OK	 
REQUEST		search	1684442296645	1684442296887	OK	 
REQUEST		search	1684442296723	1684442296948	OK	 
REQUEST		search	1684442297405	1684442297638	OK	 
REQUEST		search	1684442297658	1684442297899	OK	 
REQUEST		search	1684442297680	1684442297899	OK	 
REQUEST		search	1684442297832	1684442298087	OK	 
REQUEST		search	1684442297864	1684442298147	OK	 
REQUEST		search	1684442298041	1684442298252	OK	 
REQUEST		search	1684442298355	1684442298587	OK	 
REQUEST		search	1684442298362	1684442298619	OK	 
REQUEST		search	1684442298571	1684442298793	OK	 
REQUEST		search	1684442298838	1684442299041	OK	 
REQUEST		search	1684442298860	1684442299067	OK	 
REQUEST		search	1684442298959	1684442299187	OK	 
REQUEST		search	1684442299255	1684442299487	OK	 
REQUEST		search	1684442299466	1684442299702	OK	 
REQUEST		search	1684442299544	1684442299748	OK	 
REQUEST		search	1684442299683	1684442299891	OK	 
REQUEST		search	1684442299793	1684442300007	OK	 
REQUEST		search	1684442300224	1684442300439	OK	 
REQUEST		search	1684442300285	1684442300537	OK	 
REQUEST		search	1684442300300	1684442300587	OK	 
REQUEST		search	1684442300363	1684442300594	OK	 
REQUEST		search	1684442300918	1684442301137	OK	 
REQUEST		search	1684442300906	1684442301166	OK	 
REQUEST		search	1684442301002	1684442301207	OK	 
REQUEST		search	1684442301401	1684442301614	OK	 
REQUEST		search	1684442301556	1684442301763	OK	 
REQUEST		search	1684442301727	1684442301944	OK	 
REQUEST		search	1684442301842	1684442302053	OK	 
REQUEST		search	1684442301873	1684442302099	OK	 
REQUEST		search	1684442302169	1684442302387	OK	 
REQUEST		search	1684442302173	1684442302418	OK	 
REQUEST		search	1684442302236	1684442302487	OK	 
REQUEST		search	1684442302281	1684442302501	OK	 
REQUEST		search	1684442302667	1684442302887	OK	 
REQUEST		search	1684442302702	1684442302907	OK	 
REQUEST		search	1684442302766	1684442302994	OK	 
REQUEST		search	1684442303331	1684442303550	OK	 
REQUEST		search	1684442303330	1684442303550	OK	 
REQUEST		search	1684442303563	1684442303770	OK	 
REQUEST		search	1684442303700	1684442303938	OK	 
REQUEST		search	1684442303808	1684442304038	OK	 
REQUEST		search	1684442303944	1684442304146	OK	 
REQUEST		search	1684442304081	1684442304287	OK	 
REQUEST		search	1684442304138	1684442304347	OK	 
REQUEST		search	1684442304243	1684442304453	OK	 
REQUEST		search	1684442304699	1684442304938	OK	 
REQUEST		search	1684442305203	1684442305451	OK	 
REQUEST		search	1684442305220	1684442305456	OK	 
REQUEST		search	1684442305243	1684442305455	OK	 
REQUEST		search	1684442305261	1684442305510	OK	 
REQUEST		search	1684442305836	1684442306049	OK	 
REQUEST		search	1684442305821	1684442306053	OK	 
REQUEST		search	1684442305891	1684442306095	OK	 
REQUEST		search	1684442305943	1684442306237	OK	 
REQUEST		search	1684442306237	1684442306459	OK	 
REQUEST		search	1684442306448	1684442306687	OK	 
REQUEST		search	1684442306496	1684442306711	OK	 
REQUEST		search	1684442306497	1684442306719	OK	 
REQUEST		search	1684442306933	1684442307140	OK	 
REQUEST		search	1684442307063	1684442307287	OK	 
REQUEST		search	1684442307256	1684442307487	OK	 
REQUEST		search	1684442307321	1684442307537	OK	 
REQUEST		search	1684442307461	1684442307693	OK	 
REQUEST		search	1684442307662	1684442307865	OK	 
REQUEST		search	1684442307861	1684442308063	OK	 
REQUEST		search	1684442308042	1684442308263	OK	 
REQUEST		search	1684442308092	1684442308337	OK	 
REQUEST		search	1684442308566	1684442308787	OK	 
REQUEST		search	1684442308699	1684442308906	OK	 
REQUEST		search	1684442308764	1684442308987	OK	 
REQUEST		search	1684442308851	1684442309067	OK	 
REQUEST		search	1684442308834	1684442309087	OK	 
REQUEST		search	1684442309115	1684442309337	OK	 
REQUEST		search	1684442309316	1684442309537	OK	 
REQUEST		search	1684442309480	1684442309698	OK	 
REQUEST		search	1684442309650	1684442309887	OK	 
REQUEST		search	1684442310161	1684442310387	OK	 
REQUEST		search	1684442310221	1684442310437	OK	 
REQUEST		search	1684442310253	1684442310489	OK	 
REQUEST		search	1684442310300	1684442310537	OK	 
REQUEST		search	1684442310558	1684442310767	OK	 
REQUEST		search	1684442310589	1684442310803	OK	 
REQUEST		search	1684442310641	1684442310844	OK	 
REQUEST		search	1684442310714	1684442310919	OK	 
REQUEST		search	1684442310840	1684442311068	OK	 
REQUEST		search	1684442311116	1684442311386	OK	 
REQUEST		search	1684442311717	1684442311937	OK	 
REQUEST		search	1684442311808	1684442312009	OK	 
REQUEST		search	1684442311898	1684442312136	OK	 
REQUEST		search	1684442312074	1684442312298	OK	 
REQUEST		search	1684442312292	1684442312510	OK	 
REQUEST		search	1684442312461	1684442312687	OK	 
REQUEST		search	1684442312488	1684442312716	OK	 
REQUEST		search	1684442312539	1684442312789	OK	 
REQUEST		search	1684442312604	1684442312807	OK	 
REQUEST		search	1684442313039	1684442313251	OK	 
REQUEST		search	1684442313285	1684442313514	OK	 
REQUEST		search	1684442313642	1684442313845	OK	 
REQUEST		search	1684442313744	1684442313949	OK	 
REQUEST		search	1684442313998	1684442314218	OK	 
REQUEST		search	1684442313968	1684442314219	OK	 
REQUEST		search	1684442313962	1684442314237	OK	 
REQUEST		search	1684442314034	1684442314238	OK	 
REQUEST		search	1684442314596	1684442314837	OK	 
REQUEST		search	1684442314721	1684442314945	OK	 
REQUEST		search	1684442314868	1684442315087	OK	 
REQUEST		search	1684442315187	1684442315415	OK	 
REQUEST		search	1684442315363	1684442315618	OK	 
REQUEST		search	1684442315368	1684442315637	OK	 
REQUEST		search	1684442315439	1684442315644	OK	 
REQUEST		search	1684442315566	1684442315792	OK	 
REQUEST		search	1684442315594	1684442315807	OK	 
REQUEST		search	1684442316149	1684442316387	OK	 
REQUEST		search	1684442316174	1684442316402	OK	 
REQUEST		search	1684442316649	1684442316858	OK	 
REQUEST		search	1684442316679	1684442316914	OK	 
